Date,Opponent,Location,Result,Box Score Link,WMT Game ID,PSU Goals,PSU Shots on Goal,PSU Total Shot Attempts,PSU Faceoffs Won,PSU Faceoffs Lost,PSU Faceoff %,PSU Penalty Minutes,PSU Blocks,PSU Saves,Opponent Goals,Opponent Shots on Goal,Opponent Total Shot Attempts,Opponent Faceoffs Won,Opponent Faceoffs Lost,Opponent Faceoff %,Opponent Penalty Minutes,Opponent Blocks,Opponent Saves,Win,Goal Differential,Shot Differential,Total Shots on Goal,Faceoff Differential,PSU Save %,Opponent Save %,Home Game,Venue_Type,Total Goals,Total Penalty Minutes,PSU Shooting %,Opponent Shooting %
Saturday Oct 5,Alaska,"Fairbanks, Alaska",W Win 4-3,https://gopsusports.com/boxscore/16818,5722151,4,33,65,30,27,52.63,8,17,26,3,29,53,27,30,47.37,6,11,29,1,1,4,62,5.260000000000005,0.897,0.879,0,Away,7,14,12.121212121212121,10.344827586206897
Sunday Oct 6,Alaska,"Fairbanks, Alaska",W Win 5-0,https://gopsusports.com/boxscore/16819,5722152,5,32,54,35,36,49.3,33,17,32,0,32,64,36,35,50.7,19,10,27,1,5,0,64,-1.4000000000000057,1.0,0.844,0,Away,5,52,15.625,0.0
Saturday Oct 12,Quinnipiac,"Hamden, Conn.",L Loss 2-3,https://gopsusports.com/boxscore/16820,5722153,2,20,45,25,26,49.02,6,16,19,3,22,49,26,25,50.98,8,18,18,0,-1,-2,42,-1.9599999999999937,0.864,0.9,0,Away,5,14,10.0,13.636363636363635
Friday Oct 25,St. Lawrence,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/16821,5722154,3,28,58,40,22,64.52,8,10,14,2,16,36,22,40,35.48,21,16,25,1,1,12,44,29.04,0.875,0.893,1,Home,5,29,10.714285714285714,12.5
Saturday Oct 26,St. Lawrence,"University Park, Pa. / Pegula Ice Arena",W Win 3-1,https://gopsusports.com/boxscore/16822,5722155,3,37,65,40,17,70.18,8,12,25,1,26,50,17,40,29.82,8,7,34,1,2,11,63,40.36000000000001,0.962,0.919,1,Home,4,16,8.108108108108109,3.8461538461538463
Friday Nov 1,Minnesota,"Minneapolis, Minn.",L Loss 1-3,https://gopsusports.com/boxscore/16933,5722156,1,22,45,27,27,50.0,15,14,31,3,34,63,27,27,50.0,4,13,21,0,-2,-12,56,0.0,0.912,0.955,0,Away,4,19,4.545454545454546,8.823529411764707
Saturday Nov 2,Minnesota,"Minneapolis, Minn.",L Loss 0-1,https://gopsusports.com/boxscore/16934,5722157,0,28,52,28,28,50.0,6,12,11,1,12,40,28,28,50.0,19,13,28,0,-1,16,40,0.0,0.917,1.0,0,Away,1,25,0.0,8.333333333333332
Friday Nov 15,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 4-5,https://gopsusports.com/boxscore/16935,5722160,4,36,62,39,30,56.52,6,15,23,5,28,54,30,39,43.48,10,12,32,0,-1,8,64,13.040000000000006,0.821,0.889,1,Home,9,16,11.11111111111111,17.857142857142858
Saturday Nov 16,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 3-6,https://gopsusports.com/boxscore/16936,5722161,3,33,59,38,25,60.32,11,24,25,6,31,68,25,38,39.68,6,11,30,0,-3,2,64,20.64,0.806,0.909,1,Home,9,17,9.090909090909092,19.35483870967742
Friday Nov 22,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 5-6,https://gopsusports.com/boxscore/16937,5722162,5,29,56,43,26,62.32,4,12,19,6,25,46,26,43,37.68,8,8,24,0,-1,4,54,24.64,0.76,0.828,1,Home,11,12,17.24137931034483,24.0
Saturday Nov 23,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 6-10,https://gopsusports.com/boxscore/16938,5722163,6,39,71,39,34,53.42,29,12,20,10,30,50,34,39,46.58,14,14,33,0,-4,9,69,6.840000000000003,0.667,0.846,1,Home,16,43,15.384615384615385,33.33333333333333
Tuesday Nov 26,Colgate,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/16823,5722164,3,42,61,36,23,61.02,4,19,25,2,27,57,23,36,38.98,6,9,39,1,1,15,69,22.040000000000006,0.926,0.929,1,Home,5,10,7.142857142857142,7.4074074074074066
Wednesday Nov 27,Colgate,"University Park, Pa. / Pegula Ice Arena",W Win 7-1,https://gopsusports.com/boxscore/16824,5722165,7,36,68,23,30,43.4,4,10,22,1,23,42,30,23,56.6,34,13,29,1,6,13,59,-13.200000000000003,0.957,0.806,1,Home,8,38,19.444444444444446,4.3478260869565215
Thursday Dec 5,Ohio State,"Columbus, Ohio",L Loss 0-4,https://gopsusports.com/boxscore/16939,5722167,0,22,52,38,21,64.41,8,6,32,4,36,60,21,38,35.59,6,13,22,0,-4,-14,58,28.819999999999993,0.889,1.0,0,Away,4,14,0.0,11.11111111111111
Friday Dec 6,Ohio State,"Columbus, Ohio",L Loss 2-4,https://gopsusports.com/boxscore/16940,5722166,2,29,57,41,29,58.57,23,11,29,4,33,60,29,41,41.43,19,14,27,0,-2,-4,62,17.14,0.879,0.931,0,Away,6,42,6.896551724137931,12.121212121212121
Thursday Dec 12,Army,"Washington, D.C. / Capital One Arena",W Win 4-1,https://gopsusports.com/boxscore/16825,5722169,4,30,63,32,26,55.17,2,4,30,1,31,51,26,32,44.83,4,21,26,1,3,-1,61,10.340000000000003,0.968,0.867,0,Neutral,5,6,13.333333333333334,3.225806451612903
Friday Jan 3,Notre Dame,"Chicago, Ill. / Wrigley Field",T Tie 3-3,https://gopsusports.com/boxscore/16941,5722305,3,42,69,45,33,57.69,4,10,43,3,46,67,33,45,42.31,4,10,39,0,0,-4,88,15.379999999999995,0.935,0.929,0,Neutral,6,8,7.142857142857142,6.521739130434782
Sunday Jan 5,Notre Dame,"South Bend, Ind.",W Win 3-0,https://gopsusports.com/boxscore/16942,5722307,3,36,58,37,29,56.06,12,19,34,0,34,66,29,37,43.94,8,10,33,1,3,2,70,12.120000000000005,1.0,0.917,0,Away,3,20,8.333333333333332,0.0
Friday Jan 10,Michigan State,"University Park, Pa. / Pegula Ice Arena",L Loss 4-6,https://gopsusports.com/boxscore/16943,5722171,4,33,59,44,43,50.57,13,16,39,6,45,78,43,44,49.43,8,15,29,0,-2,-12,78,1.1400000000000006,0.867,0.879,1,Home,10,21,12.121212121212121,13.333333333333334
Saturday Jan 11,Michigan State,"University Park, Pa. / Pegula Ice Arena",T Tie 2-2,https://gopsusports.com/boxscore/16944,5722172,2,34,63,44,35,55.7,6,23,35,2,37,78,35,44,44.3,16,14,32,0,0,-3,71,11.400000000000006,0.946,0.941,1,Home,4,22,5.88235294117647,5.405405405405405
Friday Jan 17,Canisius,"University Park, Pa. / Pegula Ice Arena",W Win 4-0,https://gopsusports.com/boxscore/16826,5722173,4,38,81,38,15,71.7,8,8,18,0,18,41,15,38,28.3,18,20,34,1,4,20,56,43.400000000000006,1.0,0.895,1,Home,4,26,10.526315789473683,0.0
Saturday Jan 18,Canisius,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/16827,5722174,3,46,80,31,23,57.41,6,14,28,2,30,54,23,31,42.59,4,18,43,1,1,16,76,14.819999999999993,0.933,0.935,1,Home,5,10,6.521739130434782,6.666666666666667
Friday Jan 24,Ohio State,"University Park, Pa. / Pegula Ice Arena",T Tie 6-6,https://gopsusports.com/boxscore/16945,5722175,6,39,66,41,26,61.19,8,14,27,6,33,50,26,41,38.81,6,11,33,0,0,6,72,22.379999999999995,0.818,0.846,1,Home,12,14,15.384615384615385,18.181818181818183
Saturday Jan 25,Ohio State,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/16956,5722176,3,30,66,23,30,43.4,8,21,24,2,26,64,30,23,56.6,6,15,27,1,1,4,56,-13.200000000000003,0.923,0.9,1,Home,5,14,10.0,7.6923076923076925
Friday Jan 31,Michigan,"Ann Arbor, Mich.",W Win 5-4,https://gopsusports.com/boxscore/16946,5722554,5,32,53,31,35,46.97,4,13,35,4,39,76,35,31,53.03,10,7,27,1,1,-7,71,-6.060000000000002,0.897,0.844,0,Away,9,14,15.625,10.256410256410255
Saturday Feb 1,Michigan,"Ann Arbor, Mich.",L Loss 3-7,https://gopsusports.com/boxscore/16947,5722310,3,39,85,38,31,55.07,4,10,34,7,41,62,31,38,44.93,8,27,36,0,-4,-2,80,10.14,0.829,0.923,0,Away,10,12,7.6923076923076925,17.073170731707318
Friday Feb 7,Wisconsin,"Madison, Wis.",W Win 2-0,https://gopsusports.com/boxscore/16948,5722312,2,26,50,20,22,47.62,21,17,25,0,25,52,22,20,52.38,21,14,24,1,2,1,51,-4.760000000000005,1.0,0.923,0,Away,2,42,7.6923076923076925,0.0
Saturday Feb 8,Wisconsin,"Madison, Wis.",W Win 6-2,https://gopsusports.com/boxscore/16949,5722315,6,22,38,31,36,46.27,10,17,39,2,41,73,36,31,53.73,34,7,16,1,4,-19,63,-7.459999999999994,0.951,0.727,0,Away,8,44,27.27272727272727,4.878048780487805
Friday Feb 14,Notre Dame,"University Park, Pa. / Pegula Ice Arena",W Win 5-3,https://gopsusports.com/boxscore/16950,5722177,5,37,62,33,26,55.93,8,12,24,3,27,54,26,33,44.07,10,9,32,1,2,10,64,11.86,0.889,0.865,1,Home,8,18,13.513513513513514,11.11111111111111
Saturday Feb 15,Notre Dame,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/16951,5722178,3,28,42,38,22,63.33,21,14,36,2,38,61,22,38,36.67,19,9,25,1,1,-10,66,26.659999999999997,0.947,0.893,1,Home,5,40,10.714285714285714,5.263157894736842
Friday Feb 21,Michigan State,"East Lansing, Mich.",T Tie 2-2,https://gopsusports.com/boxscore/16952,5722316,2,33,60,43,32,57.33,6,16,36,2,38,75,32,43,42.67,10,17,31,0,0,-5,71,14.659999999999997,0.947,0.939,0,Away,4,16,6.0606060606060606,5.263157894736842
Saturday Feb 22,Michigan State,"East Lansing, Mich.",W Win 3-2,https://gopsusports.com/boxscore/16953,5722318,3,24,32,22,41,34.92,14,18,42,2,44,82,41,22,65.08,16,2,21,1,1,-20,68,-30.159999999999997,0.955,0.875,0,Away,5,30,12.5,4.545454545454546
Friday Feb 28,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 4-3,https://gopsusports.com/boxscore/16954,5722179,4,32,68,25,34,42.37,6,13,31,3,34,62,34,25,57.63,4,22,28,1,1,-2,66,-15.260000000000005,0.912,0.875,1,Home,7,10,12.5,8.823529411764707
Saturday Mar 1,Minnesota,"University Park, Pa. / Pegula Ice Arena",L Loss 3-5,https://gopsusports.com/boxscore/16955,5722180,3,33,51,32,24,57.14,17,9,27,5,32,56,24,32,42.86,17,6,30,0,-2,1,65,14.280000000000001,0.844,0.909,1,Home,8,34,9.090909090909092,15.625
Friday Mar 7,Michigan,"Ann Arbor, Mich.",W Win 6-5,https://gopsusports.com/boxscore/17231,6364021,6,36,71,25,38,39.68,6,23,21,5,26,61,38,25,60.32,10,15,30,1,1,10,62,-20.64,0.808,0.833,0,Away,11,16,16.666666666666664,19.230769230769234
Saturday Mar 8,Michigan,"Ann Arbor, Mich.",W Win 5-2,https://gopsusports.com/boxscore/17232,6364022,5,37,73,30,36,45.45,16,20,31,2,33,66,36,30,54.55,4,18,32,1,3,4,70,-9.099999999999994,0.939,0.865,0,Away,7,20,13.513513513513514,6.0606060606060606
Saturday Mar 15,Ohio State,"Columbus, Ohio",L Loss 3-4,https://gopsusports.com/boxscore/17234,6364033,3,34,65,41,35,53.95,2,19,38,4,42,78,35,41,46.05,2,20,31,0,-1,-8,76,7.900000000000006,0.905,0.912,0,Away,7,4,8.823529411764707,9.523809523809524
Friday Mar 28,Maine,"Allentown, Pa. / PPL Center",W Win 5-1,https://gopsusports.com/boxscore/17236,6367273,5,34,60,34,30,53.12,4,17,26,1,27,61,30,34,46.88,10,10,29,1,4,7,61,6.239999999999995,0.963,0.853,0,Neutral,6,14,14.705882352941178,3.7037037037037033
Sunday Mar 30,UConn,"Allentown, Pa. / PLL Center",W Win 3-2,https://gopsusports.com/boxscore/17737,6367268,3,41,79,50,37,57.47,4,33,42,2,44,96,37,50,42.53,4,25,38,1,1,-3,85,14.939999999999998,0.955,0.927,0,Neutral,5,8,7.317073170731707,4.545454545454546
Thursday Apr 10,Boston University,"St. Louis, Mo. / Enterprise Center",L Loss 1-3,https://gopsusports.com/boxscore/17738,6367264,1,33,67,38,27,58.46,6,9,30,3,33,56,27,38,41.54,4,16,32,0,-2,0,66,16.92,0.909,0.97,0,Neutral,4,10,3.0303030303030303,9.090909090909092
